projectId,job_title,job_description,tags,client_state,client_country,client_average_rating,client_review_count,min_price,max_price,avg_price,currency,rate_type,job_scope,skill_level,work_environment
273,Repair refrigerator,Refrigerator not cooling. Compressor running. Already have the materials.,"['electronics', 'repair', 'maintenance']",Navotas City,Philippines,4.7,50,4982,7628,6305,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
272,Fix TV,LCD TV has lines on screen. Price is negotiable.,"['electronics', 'maintenance', 'repair', 'appliance']",Mandaluyong City,Philippines,4.4,39,4429,6745,5587,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
58,Custom furniture making,Build custom study table and bookshelf.,"['wood', 'furniture', 'construction']",Makati City,Philippines,3.7,44,1196,1684,1440,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
352,Vinyl flooring,Install vinyl flooring in bedroom.,"['installation', 'flooring', 'refinishing', 'tiles']",Pasay City,Philippines,4.1,12,72833,103973,88403,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
185,Wall plastering,Plaster and finish interior walls.,"['construction', 'tiles', 'masonry', 'concrete']",Pasig City,Philippines,4.0,44,3893,5428,4660,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
479,Access control,Install keycard access system.,"['security', 'installation']",Manila,Philippines,3.8,1,4945,7056,6000,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
20,Fix leaking faucet,Kitchen faucet has been dripping for a week. Need someone to fix or replace the washer. Please message for viewing.,"['fixtures', 'water', 'plumbing', 'pipes']",Valenzuela City,Philippines,4.6,12,783,1040,911,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
392,Crate and ship,Crate valuable items for shipping. First time homeowner.,"['hauling', 'relocation', 'delivery']",Cebu City,Philippines,4.3,12,8787,12327,10557,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
236,Fix drawer slides,Kitchen drawer slides broken. Can be scheduled for next week.,"['home improvement', 'repair', 'maintenance']",Muntinlupa City,Philippines,4.4,49,3711,6412,5061,PHP,fixed,MODERATE_PROJECT,EXPERT,BOTH
100,Garage cleaning,Deep clean and organize garage space.,"['maintenance', 'housekeeping']",Makati City,Philippines,3.9,32,3018,5853,4435,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
405,Storage unit move,Move contents of storage unit.,"['moving', 'relocation']",Valenzuela City,Philippines,4.9,3,1531,2491,2011,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
199,Tank fabrication,Fabricate steel water tank. First time homeowner.,"['metal', 'steel', 'fabrication']",Manila,Philippines,4.5,22,7832,13573,10702,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
421,Pool demolition,Fill in and remove above ground pool.,"['demolition', 'hauling']",Valenzuela City,Philippines,4.6,27,1563,2546,2054,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
314,Pond construction,Build small garden pond with pump. Need to purchase materials.,"['outdoor', 'garden', 'plants', 'landscaping']",Paranaque City,Philippines,4.2,27,4029,7044,5536,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
121,Refrigerant recharge,Aircon needs freon recharge. Low cooling. Can be scheduled for next week.,"['HVAC', 'cooling', 'aircon', 'ventilation']",Navotas City,Philippines,4.1,37,80084,122533,101308,PHP,fixed,MAJOR_RENOVATION,ENTRY,BOTH
135,Refrigerant recharge,Aircon needs freon recharge. Low cooling. Need to purchase materials.,"['HVAC', 'aircon', 'ventilation']",Zamboanga City,Philippines,4.1,49,974,1232,1103,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
494,Camera upgrade,Upgrade to HD security cameras.,"['installation', 'CCTV', 'alarm']",Mandaluyong City,Philippines,4.5,48,12710,20560,16635,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
111,Smart thermostat install,Install programmable smart thermostat. Already have the materials.,"['HVAC', 'aircon']",Las Pinas City,Philippines,5.0,13,3089,5777,4433,PHP,fixed,MODERATE_PROJECT,ENTRY,INDOOR
338,Underlayment install,Install subfloor underlayment. Very urgent - need ASAP.,"['tiles', 'installation', 'flooring']",San Juan City,Philippines,3.7,10,10240,14486,12363,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
196,Steel trusses,Weld steel trusses for roof extension. Please message for viewing.,"['steel', 'fabrication', 'welding']",Quezon City,Philippines,4.5,23,10526,16468,13497,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
233,Screen door repair,Screen door torn and frame bent. Need experienced professional.,"['home improvement', 'maintenance', 'handyman', 'repair']",Quezon City,Philippines,4.5,42,638,1029,833,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
318,Outdoor lighting,Install landscape lighting. First time homeowner.,"['outdoor', 'plants', 'garden', 'landscaping']",Antipolo City,Philippines,4.6,42,4972,6774,5873,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
434,Pool demolition,Fill in and remove above ground pool. Please message for viewing.,"['removal', 'demolition']",Cebu City,Philippines,3.6,15,3090,4677,3883,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
44,Smart home wiring,Install wiring for smart home switches and devices. Need to purchase materials.,"['power', 'electrical', 'wiring']",Quezon City,Philippines,4.3,4,1036,1540,1288,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
345,Carpet installation,Install wall-to-wall carpet. Price is negotiable.,"['flooring', 'refinishing', 'tiles']",Quezon City,Philippines,4.1,21,2565,4221,3393,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
176,Fireplace construction,Build outdoor brick fireplace.,"['construction', 'masonry', 'tiles', 'concrete']",San Juan City,Philippines,3.6,2,3542,4967,4254,PHP,fixed,MINOR_REPAIR,EXPERT,INDOOR
49,Install LED lighting,Replace all fluorescent with LED lighting throughout house. Need experienced professional.,"['electrical', 'wiring', 'installation']",Las Pinas City,Philippines,3.6,36,7635,10850,9242,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
12,Install water tank,Need overhead water tank installed on roof with piping. Already have the materials.,"['pipes', 'water', 'plumbing']",Muntinlupa City,Philippines,3.9,36,2210,4259,3234,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
229,Install door stopper,Install door stoppers throughout house. Very urgent - need ASAP.,"['repair', 'home improvement', 'maintenance', 'handyman']",Las Pinas City,Philippines,4.6,14,4265,8448,6356,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
66,Install window frame,Need new window frame installed in kitchen. Can be scheduled for next week.,"['furniture', 'carpentry']",Las Pinas City,Philippines,4.7,21,1739,2266,2002,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
332,Tree removal,Remove large dead tree from yard. Price is negotiable.,"['garden', 'landscaping']",Pasig City,Philippines,3.9,30,37238,74695,55966,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
249,Weather stripping,Install weather stripping on doors. Can be scheduled for next week.,"['repair', 'maintenance']",Makati City,Philippines,3.8,12,625,821,723,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
354,Tile repair,Replace cracked tiles in bathroom. Please message for viewing.,"['installation', 'flooring']",Valenzuela City,Philippines,4.6,38,2330,3310,2820,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
